player_name,season_year,total_runs
BCJ Cutting,2017,51
MM Sharma,2017,51
KV Sharma,2017,49
A Mishra,2017,49
CR Woakes,2017,46
SP Jackson,2017,38
Mohammed Shami,2017,36
IR Jaggi,2017,33
AD Mathews,2017,32
S Aravind,2017,32
Bipul Sharma,2017,31
MN Samuels,2017,29
Basil Thampi,2017,28
MA Agarwal,2017,26
A Choudhary,2017,25
Ankit Sharma,2017,25
MG Johnson,2017,20
Kuldeep Yadav,2017,20
Vishnu Vinod,2017,19
R Tewatia,2017,19
AP Tare,2017,18
MP Stoinis,2017,17
MJ McClenaghan,2017,16
Harbhajan Singh,2017,16
JJ Bumrah,2017,16
R Bhatia,2017,16
Sachin Baby,2017,15
Anureet Singh,2017,15
NM CoulterNile,2017,14
DL Chahar,2017,14
YS Chahal,2017,13
S Badree,2017,13
CR Brathwaite,2017,12
Swapnil Singh,2017,12
AR Bawne,2017,12
Rashid Khan,2017,11
UT Yadav,2017,10
Washington Sundar,2017,9
TS Mills,2017,8
F du Plessis,2017,8
I Sharma,2017,8
P Kumar,2017,8
SL Malinga,2017,7
Ankit Soni,2017,7
TG Southee,2017,7
AF Milne,2017,7
AB Dinda,2017,7
DM Bravo,2017,6
Sandeep Sharma,2017,6
TA Boult,2017,5
Iqbal Abdulla,2017,5
A Zampa,2017,5
AS Rajpoot,2017,4
Z Khan,2017,4
B Kumar,2017,4
VR Aaron,2017,4
RD Chahar,2017,3
PP Chawla,2017,2
Mohammad Nabi,2017,2
S Nadeem,2017,2
JD Unadkat,2017,2
KC Cariappa,2017,2
PJ Sangwan,2017,2
IK Pathan,2017,2
Shakib Al Hasan,2017,1
LH Ferguson,2017,1
DS Kulkarni,2017,1
CJ Jordan,2017,0
S Kaul,2017,0
Imran Tahir,2017,0
SN Thakur,2017,0
AD Nath,2017,0
MM Patel,2017,0
